gene,log2FoldChange,padj
ENSMUSG00000092574,2.88334776042426,0.0133075008966513
ENSMUSG00000021647,2.06415739073563,3.57949935802388e-11
ENSMUSG00000026077,1.67981962491244,0.0382473609770097
ENSMUSG00000055116,1.51464247256048,0.0153435617957568
ENSMUSG00000026387,1.41781788102417,8.61538199101162e-06
ENSMUSG00000028876,1.10488352279619,0.0043708440113861
ENSMUSG00000097746,0.857393843099094,0.0445503687876171
ENSMUSG00000054976,0.843778264170935,0.0098461315564814
ENSMUSG00000038037,0.790214300796985,0.0001172004118304
ENSMUSG00000002324,0.746198359502804,0.0250251718299821
ENSMUSG00000034799,0.720746192626435,0.0001172004118304
ENSMUSG00000059602,0.643351086249446,0.0089797815259408
ENSMUSG00000073434,0.608756862764213,0.0001172004118304
ENSMUSG00000024190,0.477667831958699,0.0372953232864947
ENSMUSG00000091421,0.458394977229966,0.0009366102205607
ENSMUSG00000035356,0.45645551434795,0.0105121435439447
ENSMUSG00000025245,0.430464724870122,0.0148389617602731
ENSMUSG00000038453,0.402019828853101,0.012189200606071
ENSMUSG00000063506,0.392289885668997,0.0423850407165244
ENSMUSG00000034165,0.391367298922465,0.0003223484653002
ENSMUSG00000029238,0.34391075335807,0.0133875898554117
ENSMUSG00000025041,0.33816640532911,0.0089797815259408
ENSMUSG00000020176,0.282227439108931,0.0007834630029749
ENSMUSG00000021811,0.264338930519485,0.0096443495463792
ENSMUSG00000016921,0.243503276028869,0.0478034547707305
