gene,log2FoldChange,padj
ENSMUSG00000104856,-6.60985859536981,0.0002925838559687
ENSMUSG00000098925,-6.60985859536981,0.0002925838559687
ENSMUSG00000098641,-6.60985859536981,0.0002925838559687
ENSMUSG00000105025,-6.60985859536981,0.0002925838559687
ENSMUSG00000019987,-6.56241534029459,0.0096443495463792
ENSMUSG00000036813,-6.33084212329872,0.0382473609770097
ENSMUSG00000001155,-5.90257525696059,0.0148389617602731
ENSMUSG00000106797,-5.81873502385595,0.0129954145658282
ENSMUSG00000031443,-4.61953755047965,0.0386207340836787
ENSMUSG00000031444,-4.49167556023991,0.0077066791705857
ENSMUSG00000061100,-4.26883478558334,0.0470419039713421
ENSMUSG00000068463,-4.14473894418307,0.0250251718299821
ENSMUSG00000032401,-2.86867554979387,0.0262670091214378
ENSMUSG00000035041,-2.83071970816632,0.0395959928594644
ENSMUSG00000026866,-2.76815146179229,0.0383865814827807
ENSMUSG00000091971,-2.32645672677086,0.0441010323567131
ENSMUSG00000092609,-2.19160010837289,0.0386207340836787
ENSMUSG00000085255,-1.6961915130974,0.0474619722930425
ENSMUSG00000038550,-1.5735849199247,0.0001989131370262
ENSMUSG00000059325,-1.03245508098475,0.0065213197033996
ENSMUSG00000002289,-1.02592351144532,0.043447673943905
ENSMUSG00000022389,-0.967932231869739,0.0001172004118304
ENSMUSG00000026581,-0.964263623820745,0.0474619722930425
ENSMUSG00000051043,-0.920556350650839,0.0464899832187577
ENSMUSG00000076609,-0.887882730858996,0.0470419039713421
