gene,log2FoldChange,padj
ENSMUSG00000116378,-6.46037114447528,4.18519588648089e-06
ENSMUSG00000089739,-5.84327497814902,0.0188544497772268
ENSMUSG00000064405,-5.09692852869487,0.0001752838700627
ENSMUSG00000034683,-3.88522886331059,3.53915706362727e-08
ENSMUSG00000109341,-3.8443006474561,0.0009131982289457
ENSMUSG00000021799,-3.7666180913473,0.0144950963473407
ENSMUSG00000027068,-3.73869982283213,2.0564378168539998e-15
ENSMUSG00000043857,-3.73026617094389,6.69892659832138e-12
ENSMUSG00000057948,-3.72036327750645,1.3028812738286898e-40
ENSMUSG00000112071,-3.63439038169905,1.04565119269453e-31
ENSMUSG00000006218,-3.43823805358143,0.0091079964888207
ENSMUSG00000113553,-3.29697516363766,3.44559303499752e-10
ENSMUSG00000057762,-3.01030250770198,0.0127365128736082
ENSMUSG00000022149,-2.9769150211718,0.0068960304505866
ENSMUSG00000038550,-2.90876646773768,4.94527271674612e-23
ENSMUSG00000116725,-2.88092559728682,1.76308156104547e-08
ENSMUSG00000112707,-2.87342449466438,0.000106880128859
ENSMUSG00000046490,-2.86329332431051,1.11478880619043e-06
ENSMUSG00000085742,-2.86284397159884,0.004696011021626
ENSMUSG00000058743,-2.8605384590636,0.0003114302118776
ENSMUSG00000040485,-2.84481054003537,3.71997647186497e-52
ENSMUSG00000087196,-2.80874887073807,0.0002673860681244
ENSMUSG00000032401,-2.75355894616448,0.0007601773578822
ENSMUSG00000053675,-2.68179151823819,2.98726375227054e-06
ENSMUSG00000052485,-2.67354059529043,3.60873768593063e-20
